,id,data_lancamento,preco_venda_unidade,padrao_unidade,qtd_unidades,incorporadora,municipio,lati,long
140,451,2024-02-01,295500,econômico,273,Vila Realty,são paulo,-23.492269892049666,-46.54625785105297
141,465,2024-02-01,316500,econômico,233,Lua Residencial,belo horizonte,-19.837341376467755,-43.850152490871366
142,488,2024-02-01,968000,médio padrão,103,Serra Urbanismo,rio de janeiro,-22.956604623207852,-43.66354278354243
143,489,2024-02-01,256500,econômico,288,Cedro Empreendimentos,belo horizonte,-19.805270916521376,-43.91911016147705
144,504,2024-02-01,869000,médio padrão,96,Areia Realty,rio de janeiro,-23.066333149994936,-43.65857994102408
145,508,2024-02-01,245000,econômico,211,Aurora Novas Cidades,belo horizonte,-19.883970589033904,-43.92501945746559
146,523,2024-02-01,270000,econômico,216,Lua Desenvolvimento,belo horizonte,-19.923683526101286,-44.077457005877626
147,545,2024-02-01,287500,econômico,169,Horizonte Novas Cidades,belo horizonte,-19.786458353381203,-43.8689275601476
148,570,2024-02-01,814000,médio padrão,111,Rio Residencial,são paulo,-23.47488497957464,-46.396673877940195
149,577,2024-02-01,793000,médio padrão,114,Bosque Living,belo horizonte,-19.848268128334965,-43.939317567302226
150,578,2024-02-01,305500,econômico,178,Vale Novas Cidades,são paulo,-23.612942465884107,-46.57603854849938
151,580,2024-02-01,293500,econômico,226,Rio Living,são paulo,-23.64248054993216,-46.685866296924594
152,584,2024-02-01,232000,econômico,231,Verde Novas Cidades,rio de janeiro,-22.978952315283724,-43.20699480626654
153,597,2024-02-01,212500,econômico,220,Arvoredo Living,são paulo,-23.590928835763133,-46.710901217091596
154,599,2024-02-01,290000,econômico,182,Jacarandá Residencial,são paulo,-23.569351189356503,-46.71465735962326
155,604,2024-02-01,263500,econômico,204,Aurora Novas Cidades,belo horizonte,-19.816491858766536,-43.9961796465653
156,625,2024-02-01,219500,econômico,215,Arvoredo Living,belo horizonte,-20.03919252794912,-43.97572733454835
157,664,2024-02-01,299000,econômico,224,Rio Living,belo horizonte,-19.780354932298923,-43.91856244132019
158,665,2024-02-01,615500,médio padrão,104,Lua Residencial,rio de janeiro,-22.817607943483342,-43.721898984294576
159,704,2024-02-01,252500,econômico,277,Cais Habitar,rio de janeiro,-22.784315858436372,-43.17647840558772
160,721,2024-02-01,795000,médio padrão,186,Lua Construtora,rio de janeiro,-23.08296639080571,-43.7777760855177
161,740,2024-02-01,244500,econômico,182,Aurora Habitar,belo horizonte,-19.77507002562133,-43.986307676881104
162,743,2024-02-01,274500,econômico,255,Ponte Residencial,são paulo,-23.406414064670678,-46.38073668647691
163,757,2024-02-01,283500,econômico,195,Lua Desenvolvimento,rio de janeiro,-22.96093314052771,-43.796699308572336
164,760,2024-02-01,754000,médio padrão,104,Ipê Empreendimentos,belo horizonte,-19.902675452051625,-44.0957935151868
165,767,2024-02-01,903000,médio padrão,150,Cais Habitar,rio de janeiro,-22.810708248478658,-43.744728125896245
166,779,2024-02-01,615000,médio padrão,50,Ipê Construtora,são paulo,-23.59047617049688,-46.6869338886296
167,794,2024-02-01,284000,econômico,200,Jardim Residencial,rio de janeiro,-22.87222705754905,-43.27358870968905
168,800,2024-02-01,275000,econômico,147,Cedro Construtora,são paulo,-23.35049880306051,-46.77369121506823
169,813,2024-02-01,283500,econômico,232,Parque Habitar,são paulo,-23.6022332050395,-46.78240001486427
170,829,2024-02-01,305000,econômico,212,Areia Habitar,são paulo,-23.797997938836012,-46.79386405702768
171,836,2024-02-01,241500,econômico,220,Ventura Urbanismo,belo horizonte,-19.802430784870232,-43.88507248382945
172,841,2024-02-01,207000,econômico,183,Vale Novas Cidades,são paulo,-23.649049333322832,-46.893258758974234
173,857,2024-02-01,604500,médio padrão,124,Jacarandá Desenvolvimento,belo horizonte,-20.0060383082319,-43.961812238981885
174,867,2024-02-01,300000,econômico,237,Parque Incorp,rio de janeiro,-22.816580787333216,-43.202888431014124
175,870,2024-02-01,200000,econômico,216,Serra Desenvolvimento,belo horizonte,-19.77622523569081,-43.879868755910174
176,875,2024-02-01,309000,econômico,151,Bosque Living,belo horizonte,-19.997187004032025,-44.05181427730231
177,876,2024-02-01,218000,econômico,130,Jardim Residencial,rio de janeiro,-22.864267352128397,-43.58872460137602
178,879,2024-02-01,296000,econômico,290,Rio Residencial,belo horizonte,-19.88480756175418,-44.0274880388066
179,897,2024-02-01,233500,econômico,257,Cedro Empreendimentos,belo horizonte,-19.98912406508154,-43.87203210433324
180,899,2024-02-01,290000,econômico,217,Serra Living,são paulo,-23.398650309171185,-46.53855663286671
181,914,2024-02-01,209000,econômico,193,Cedro Construtora,são paulo,-23.763991258513027,-46.399008877648555
182,920,2024-02-01,763500,médio padrão,125,Serra Urbanismo,rio de janeiro,-22.78245837320291,-43.305307232346586
183,932,2024-02-01,270000,econômico,201,Aurora Habitar,belo horizonte,-20.01417011756613,-44.06125775171253
184,933,2024-02-01,295500,econômico,282,Arvoredo Living,belo horizonte,-19.965696217749542,-44.02211046540151
185,946,2024-02-01,649000,médio padrão,125,Serra Urbanismo,belo horizonte,-20.003321332874727,-43.97561008567086
186,957,2024-02-01,338000,econômico,269,Verde Desenvolvimento,são paulo,-23.721778007889473,-46.69725804792657
187,962,2024-02-01,279500,econômico,223,Verde Desenvolvimento,são paulo,-23.514199059111263,-46.67827121115201
188,984,2024-02-01,728500,médio padrão,78,Serra Desenvolvimento,belo horizonte,-19.753069229985268,-43.97351999664379
189,994,2024-02-01,243000,econômico,204,Vale Novas Cidades,são paulo,-23.73771874044271,-46.870129348276606
190,1013,2024-02-01,764500,médio padrão,146,Lua Construtora,belo horizonte,-19.78677765169266,-44.03107020409547
191,1014,2024-02-01,706000,médio padrão,115,Vale Urbanismo,são paulo,-23.5182905949542,-46.72462526777715
192,1015,2024-02-01,263000,econômico,206,Aurora Novas Cidades,são paulo,-23.73001932954448,-46.59372311263303
193,1034,2024-02-01,268500,econômico,241,Areia Desenvolvimento,são paulo,-23.588749692820464,-46.49759355038399
194,1036,2024-02-01,792500,médio padrão,110,Cedro Construtora,são paulo,-23.5691852901001,-46.85401703826431
195,1038,2024-02-01,273000,econômico,183,Horizonte Novas Cidades,rio de janeiro,-22.78769282011885,-43.614988606926254
196,1042,2024-02-01,824500,médio padrão,157,Jardim Residencial,rio de janeiro,-22.89865631316759,-43.42371306236084
197,1049,2024-02-01,274500,econômico,288,Aurora Habitar,belo horizonte,-19.973014976218437,-43.97262534871556
198,1050,2024-02-01,762000,médio padrão,104,Cedro Construtora,são paulo,-23.41675772394949,-46.765312178335776
199,1057,2024-02-01,849500,médio padrão,105,Parque Novas Cidades,são paulo,-23.65039982693536,-46.414057658707286
200,1058,2024-02-01,759500,médio padrão,150,Nuvem Empreendimentos,rio de janeiro,-22.81782279672881,-43.44225261205239
201,1095,2024-02-01,307500,econômico,208,Cedro Construtora,são paulo,-23.529164017343657,-46.37888941234293
202,1105,2024-02-01,638000,médio padrão,98,Aurora Habitar,belo horizonte,-19.877083257950364,-44.00100185215491
203,1106,2024-02-01,270500,econômico,325,Jacarandá Desenvolvimento,belo horizonte,-19.879792307842752,-43.9065968442396
204,1147,2024-02-01,825000,médio padrão,129,Rio Living,belo horizonte,-19.95421292726624,-44.05203506906674
205,1177,2024-02-01,282000,econômico,284,Verde Novas Cidades,belo horizonte,-19.98817264632469,-43.8805913007984
206,1183,2024-02-01,802500,médio padrão,84,Parque Novas Cidades,são paulo,-23.436849503922,-46.83757053328029
207,7,2024-03-01,840000,médio padrão,139,Ipê Urbanismo,são paulo,-23.42548308937216,-46.45737960337676
208,10,2024-03-01,859500,médio padrão,61,Areia Habitar,são paulo,-23.45575051416279,-46.550904923999674
209,14,2024-03-01,263000,econômico,154,Ipê Empreendimentos,belo horizonte,-19.911436830924583,-44.0596820552416
210,31,2024-03-01,338000,econômico,210,Verde Desenvolvimento,são paulo,-23.71932926132902,-46.57033946466353
211,39,2024-03-01,239000,econômico,190,Jardim Residencial,rio de janeiro,-22.969035584807486,-43.480588435219865
212,51,2024-03-01,826000,médio padrão,180,Cais Habitar,belo horizonte,-19.951491638498595,-43.9661413025425
213,56,2024-03-01,298500,econômico,93,Lua Construtora,rio de janeiro,-22.917078878570408,-43.22705745749506
214,88,2024-03-01,191500,econômico,176,Bosque Living,belo horizonte,-19.976899763783287,-43.889102903809366
215,120,2024-03-01,237000,econômico,244,Rio Residencial,belo horizonte,-20.00486379653276,-44.08815649499863
216,135,2024-03-01,803000,médio padrão,79,Ponte Residencial,são paulo,-23.588589600321328,-46.49657780249044
217,138,2024-03-01,746500,médio padrão,186,Areia Desenvolvimento,são paulo,-23.630284893839946,-46.50437810647005
218,146,2024-03-01,216000,econômico,174,Vila Realty,são paulo,-23.555936018964008,-46.80907877214799
219,154,2024-03-01,310000,econômico,267,Aurora Novas Cidades,belo horizonte,-19.774945477711242,-44.019616752129416
220,178,2024-03-01,221500,econômico,255,Vila Realty,são paulo,-23.60942707239416,-46.59629828929237
221,179,2024-03-01,791000,médio padrão,97,Parque Novas Cidades,são paulo,-23.350260140849116,-46.6159473285504
222,185,2024-03-01,202000,econômico,170,Ipê Urbanismo,são paulo,-23.557476205181118,-46.44944006638831
223,251,2024-03-01,695000,médio padrão,173,Jacarandá Residencial,são paulo,-23.399545446817452,-46.72710863155355
224,258,2024-03-01,296500,econômico,181,Vale Novas Cidades,são paulo,-23.6221444058085,-46.48910830965357
225,265,2024-03-01,873500,médio padrão,50,Bosque Living,belo horizonte,-19.981701655960237,-44.087366002837484
226,277,2024-03-01,284000,econômico,157,Horizonte Novas Cidades,belo horizonte,-19.836994935983615,-43.941109911497456
227,302,2024-03-01,749500,médio padrão,143,Aurora Habitar,belo horizonte,-20.0335195032407,-43.954568175510325
228,309,2024-03-01,256000,econômico,134,Ponte Residencial,são paulo,-23.61373135642543,-46.80283316027006
229,321,2024-03-01,268500,econômico,203,Jardim Residencial,são paulo,-23.78558038477982,-46.56208764140565
230,337,2024-03-01,275500,econômico,249,Serra Living,são paulo,-23.680941574980434,-46.87824188538539
231,371,2024-03-01,257500,econômico,110,Ipê Urbanismo,são paulo,-23.538802766258723,-46.6927955969853
232,396,2024-03-01,313500,econômico,163,Vila Realty,são paulo,-23.627495742965273,-46.475121806687675
233,402,2024-03-01,324000,econômico,256,Arvoredo Living,são paulo,-23.51822832137179,-46.39828706277523
234,437,2024-03-01,862000,médio padrão,95,Cais Habitar,rio de janeiro,-23.02780448380813,-43.66000342222843
235,442,2024-03-01,271500,econômico,223,Vale Novas Cidades,são paulo,-23.683115986561013,-46.82562825089781
236,445,2024-03-01,735500,médio padrão,119,Jardim Residencial,belo horizonte,-19.944013135168916,-43.93012869543548
237,447,2024-03-01,318000,econômico,277,Serra Desenvolvimento,belo horizonte,-20.000274115947295,-44.088758939375296
238,478,2024-03-01,877500,médio padrão,156,Serra Urbanismo,rio de janeiro,-22.892066404567085,-43.61635893960471
239,481,2024-03-01,266000,econômico,81,Serra Desenvolvimento,rio de janeiro,-22.934015096501117,-43.37195204540981
240,486,2024-03-01,909500,médio padrão,113,Serra Living,são paulo,-23.447722830224897,-46.56196657941116
241,491,2024-03-01,264000,econômico,196,Cedro Empreendimentos,belo horizonte,-19.8217141061449,-44.02093115570376
242,492,2024-03-01,314500,econômico,240,Verde Desenvolvimento,são paulo,-23.406329580576678,-46.396167917784
243,494,2024-03-01,658000,médio padrão,90,Verde Novas Cidades,são paulo,-23.45762252185546,-46.547479880331124
244,531,2024-03-01,280500,econômico,159,Jardim Residencial,rio de janeiro,-22.91773028721429,-43.54489578473364
245,572,2024-03-01,254500,econômico,279,Areia Realty,belo horizonte,-19.789162863029592,-43.87928812413345
246,581,2024-03-01,837500,médio padrão,78,Serra Urbanismo,rio de janeiro,-22.991762595782347,-43.647637818624446
247,586,2024-03-01,213500,econômico,296,Areia Desenvolvimento,são paulo,-23.757450092201474,-46.70859284193091
248,588,2024-03-01,249500,econômico,188,Parque Habitar,são paulo,-23.788849956177284,-46.663485386694965
249,627,2024-03-01,228500,econômico,200,Verde Desenvolvimento,são paulo,-23.403226259526356,-46.784631636662624
250,637,2024-03-01,229500,econômico,96,Jardim Residencial,rio de janeiro,-23.046636721857567,-43.678816031721354
251,666,2024-03-01,296500,econômico,122,Verde Construtora,rio de janeiro,-22.90667449649235,-43.17308623683514
252,668,2024-03-01,566500,médio padrão,164,Ponte Residencial,são paulo,-23.464218414723195,-46.48690536173442
